Project_ID,Title,Acronym,Status,Start,End,Site,Organization,Authority,Responsible,Funder,Field,Material,DocumentedIn,Specific,Scope
ACTV_00011,Sculpture Conservation Restoration Workshop of the National Museum of Cambodia,SCRW,"Ongoing	",1999,Present,"UNESCO_01, UNESCO_02, UNESCO_03, UNESCO_04",ORG_00031,ORG_00062,AUTH_BEPORT,"ORG_00031,  ORG_00171","Conservation Science, Art, Chemistry, Museology","Sandstone, Bronze",ICC-Angkor: 20 years of international cooperation for conservation and sustainable development,,"Establishment and implementation of a specialized technical atelier for the structural restoration, epigraphic analysis, and physical conservation of ancient Khmer stone statuary, lintels, and inscriptions.Dismantlement, de-restoration of old concrete interventions, salt extraction, structural block assembly, sandstone petrographic sampling, high-precision inscription rubbing, and physical preparation of masterpieces for international exhibitions."
ACTV_00019,Past Urban Resilience and Adaptation,PURA,"Ongoing	",2024,Present,UNESCO_04,ORG_00058,NATB_00002,AUTH_CHCARL,ORG_00058,"Architecture, Geotechnical Engineering, Conservation Science",,,,"Geoarchaeological landscape research and environmental data analysis exploring the urban trajectory, water management, and decline of the 10th-century capital of Koh Ker. Terrestrial sediment coring, magnetic susceptibility profiling, radiocarbon dating, and geochemical analysis of tropical soils to reconstruct ancient land use, agricultural practices, and fire regimes."
ACTV_00014,Maha Russey Ashram Conservation Project,MRSP,"Ongoing	",2022,Present,UNESCO_03,ORG_00162,NATB_00003,AUTH_DEKHOB,ORG_00169,"Conservation Science, Architecture, Materials Science, Archaeology",Sandstone,,Pr.Kuk N17,"Emergency structural consolidation, architectural preservation, and salt mitigation of sandstone sanctuary located within the Sambor Prei Kuk UNESCO World Heritage zone. Dismantling and re-stabilization of the thin sandstone wall slabs and structural pillars, cleaning of unique kudu/gavaksha (sun-window) niche reliefs, salinity extraction from stone matrices, and specialized local community capacity building in early masonry conservation techniques."
ACTV_00016,Prasat Kraham Project,PKP,"Ongoing	",2025,2029,UNESCO_04,ORG_00031,NATB_00002,AUTH_ERBOUR,ORG_00166,"Architecture, Conservation Science, Materials Science, History","Sandstone, Laterite, Brick",ICC-Angkor: 20 years of international cooperation for conservation and sustainable development,Prasat Kraham,"Structural reinforcement, architectural stabilization, and archaeological conservation of the largest 10th-century brick sanctuary tower at Koh Ker. Debris removal, deep masonry reinforcement against structural collapse, stabilization of exterior stucco, drainage control, and site monitoring."
ACTV_00018,Restoration of the Monumental Dancing Shiva,,Concluded,2020,2026,UNESCO_04,"ORG_00031, NATB_00002",NATB_00001,AUTH_ERBOUR,ORG_00166,"Archaeometry, Geochemistry, Climatology, Ecology",Sandstone,RESTORATION AND REBIRTH,Prasat Thom Prang,"Physical reassembly and structural reconstruction of the monumental, 10th-century five-headed and ten-armed sandstone Shiva Nataraja sculpture from Koh Ker. Sorting and cataloging over 10,000 fragments shattered by looters, virtual 3D modeling, manual 3D puzzle reassembly of 2,750+ sculpted fragments, structural design of a load-bearing internal support armature, and specialized training for local stone conservators."
ACTV_00001,German Apsara Conservation Project,GACP,"Ongoing	",1995,Present,UNESCO_01,ORG_00109,NATB_00001,"AUTH_HALEIS, AUTH_ESLEIS",ORG_00152,"Conservation Science, Geochemistry, Materials Science, Architecture","Sandstone,Stucco",The Southwest Pavilion of Angkor Vat Temple: Damage Encountered and Conservation Efforts; Contour Scaling:the disfiguring disease of AngkorWat reliefs; On the Polychromy of Angkor Vat Results of Initial Paint Color Investigations,Prasat Angkor Wat,"Consolidation of sandstone, waterproofing, and stucco diagnostics, conservation of carvings in bas-relief."
ACTV_00009,Khmer Archaeology LiDAR Consortium,KALC,Concluded,2012,2012,"UNESCO_01, UNESCO_02, UNESCO_03, UNESCO_04","ORG_00001, ORG_00031, ORG_00136, ORG_00159, ORG_00006, ORG_00147, ORG_00149",NATB_00001,"AUTH_IMSOKR, AUTH_DAEVAN","NATB_00001, ORG_00031, ORG_00136,  ORG_00159, ORG_00006, ORG_00155, ORG_00149","Remote Sensing, Computer Science, Archaeology",,"Uncovering archaeological landscapes at Angkor using lidar; Airborne laser scanning as a method for exploring long-term socio-ecological dynamics in Cambodia; Temple occupation and the tempo of collapse at Angkor Wat, Cambodia","Angkor Wat, Beng Mealea, Preah Khan of Angkor, Ta Prohm, Banteay Chhmar, Prasat Sambor",Airborne LiDAR laser scanning acquisition over major Khmer archaeological zones to map hidden low-density urbanism
ACTV_00010,Living Angkor Road Project ,LARP,Concluded,2005,2015,"UNESCO_01, UNESCO_02, UNESCO_03, UNESCO_04",ORG_00160,NATB_00001,"AUTH_IMSOKR, AUTH_SULERT",ORG_00163,"Archaeology, Remote Sensing, Anthropology, Social History",Earth,The Living Angkor Road Project: Connectivity within Ancient Mainland Southeast Asia,,"Interdisciplinary mapping, excavation, and ethnographic study of ancient Khmer royal highway infrastructure"
ACTV_00002,Jaya Koh Ker Project,JAYA-KK,Concluded,2007,2014,UNESCO_04,ORG_00153,NATB_00002,AUTH_JAJELE,ORG_00154,"Epigraphy, Archaeology, Conservation Science, Geography","Sandtone, Ceramic, Brick","JAYA Koh Ker Project: project information and report for the 16th plenary session of ICC, Towards a landscape archaeology of Koh Ker: methods, issues and recent research",,"Inscription mapping, test excavations, ceramic profiling"
ACTV_00012,Roluos Project,RLP,Concluded,1992,2010,UNESCO_01,"ORG_00158, ORG_00100, ORG_00067",NATB_00001,AUTH_JAJELE,"ORG_00152, ORG_00100, ORG_00067, ORG_00154","Architecture, Conservation Science, Archaeology, Geotechnical Engineering","Sandstone, Laterite, Brick, Stucco","Conservation of external stuccoes and brick surfaces, Preah Ko Sanctuary, Roluos",Preah Ko,"Large-scale archaeological research, excavation, and landscape analysis of early Angkor capital (Hariharalaya)"
